City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,pevek,69.7008,170.3133,-28.79,89,100,1.63,RU,1677988333
141,asau,46.4333,26.4,-2.49,89,30,0.25,RO,1677988334
142,idrinskoye,54.3708,92.1358,-8.71,86,68,1.24,RU,1677988336
143,avarua,-21.2078,-159.775,29.03,79,75,8.23,CK,1677988270
144,east london,-33.0153,27.9116,21.84,87,0,4.83,ZA,1677988145
145,macamic,48.7502,-78.9996,-2.47,98,100,1.41,CA,1677988341
146,shahr-e babak,30.1165,55.1186,10.69,40,5,1.88,IR,1677988342
147,tiksi,71.6872,128.8694,-16.84,94,100,1.43,RU,1677988344
148,souillac,-20.5167,57.5167,23.21,100,75,0.0,MU,1677988345
149,iqaluit,63.7506,-68.5145,-4.15,79,100,5.14,CA,1677988347
150,hakkari,37.5833,44.1667,4.88,65,40,6.17,TR,1677988348
151,cherskiy,68.75,161.3,-28.69,89,92,1.72,RU,1677988349
152,angoche,-16.2325,39.9086,24.4,92,100,3.51,MZ,1677988351
153,saint pete beach,27.7253,-82.7412,25.01,81,100,3.09,US,1677988352
154,sao gabriel da cachoeira,-0.1303,-67.0892,23.13,98,99,1.11,BR,1677988353
155,college,64.8569,-147.8028,-16.34,67,75,2.57,US,1677988355
156,rio branco do sul,-25.19,-49.3142,20.46,98,31,1.02,BR,1677988356
157,susehri,40.1644,38.0867,5.29,96,100,0.52,TR,1677988358
158,tuatapere,-46.1333,167.6833,15.26,54,48,3.69,NZ,1677988359
159,santa isabel do rio negro,-0.4139,-65.0192,23.65,90,67,1.47,BR,1677988360
160,dikson,73.5069,80.5464,-24.95,91,100,3.1,RU,1677988362
161,butaritari,3.0707,172.7902,27.23,76,72,1.92,KI,1677988363
162,lasa,46.6166,10.7002,-0.54,65,17,2.16,IT,1677988365
163,torbay,47.6666,-52.7314,-7.46,73,0,7.2,CA,1677988366
164,veraval,20.9,70.3667,29.34,38,18,3.47,IN,1677988369
165,ardino,41.5833,25.1333,2.76,86,11,1.34,BG,1677988370
166,orlik,52.5178,99.825,-7.31,58,99,5.01,RU,1677988371
167,coxim,-18.5067,-54.76,21.81,95,90,2.02,BR,1677988373
168,tarata,-17.6167,-66.0167,16.68,78,100,0.14,BO,1677988374
169,constitucion,-35.3333,-72.4167,17.12,49,0,4.76,CL,1677988375
170,gravdal,68.1214,13.5031,-2.17,79,99,13.06,NO,1677988377
171,baranain,42.8057,-1.6773,-0.75,83,1,1.54,ES,1677988378
172,sorland,67.667,12.6934,-0.08,78,100,14.63,NO,1677988380
173,guymon,36.6828,-101.4816,9.0,31,0,4.63,US,1677988245
174,khatanga,71.9667,102.5,-21.93,97,100,3.32,RU,1677988382
175,georgetown,5.4112,100.3354,30.96,62,20,5.66,MY,1677988384
176,ligayan,4.6533,119.4706,27.09,79,98,6.09,PH,1677988385
177,kysyl-syr,63.8986,122.7617,-10.89,89,100,4.03,RU,1677988387
178,mangaluru,12.8667,74.8833,26.48,61,0,1.54,IN,1677988388
179,chumikan,54.7183,135.315,2.51,77,32,12.88,RU,1677988389
180,aswan,24.0934,32.907,22.61,18,0,2.06,EG,1677988392
181,amazar,53.858,120.875,0.73,52,100,2.81,RU,1677988395
182,coatesville,39.9832,-75.8238,5.47,73,100,2.06,US,1677988260
183,santa rosa,14.3122,121.1114,30.06,64,22,6.96,PH,1677988392
184,west wendover,40.7391,-114.0733,-0.44,93,100,1.54,US,1677988398
185,ponta delgada,37.7333,-25.6667,16.4,88,75,9.26,PT,1677988400
186,bethel,41.3712,-73.414,3.75,81,100,0.0,US,1677988402
187,burnie,-41.0667,145.9167,22.19,75,88,4.04,AU,1677987860
188,rzhyshchiv,49.9689,31.0463,-2.49,61,27,7.11,UA,1677988405
189,bengkulu,-3.8004,102.2655,28.25,66,40,2.53,ID,1677988407
190,comodoro rivadavia,-45.8667,-67.5,14.92,51,0,2.57,AR,1677988409
191,yulara,-25.2406,130.9889,36.79,8,0,2.96,AU,1677988410
192,gazojak,41.1875,61.4036,12.05,48,100,4.98,TM,1677988412
193,baldone,56.7428,24.3944,-1.83,92,100,3.76,LV,1677988413
194,kuching,1.55,110.3333,26.74,88,20,1.03,MY,1677988396
195,nanortalik,60.1432,-45.2371,1.04,84,92,4.21,GL,1677988416
196,eureka,40.8021,-124.1637,6.34,85,85,3.13,US,1677988417
197,kahului,20.8947,-156.47,23.32,85,100,4.63,US,1677988418
198,cam ranh,11.9214,109.1591,26.98,57,40,9.77,VN,1677988420
199,oksfjord,70.2396,22.3479,-3.96,90,100,6.1,NO,1677988422
200,khash,28.2211,61.2158,15.6,43,3,0.84,IR,1677988424
201,walvis bay,-22.9575,14.5053,17.36,70,0,3.1,NA,1677988425
202,piranhas,-16.4269,-51.8222,22.37,92,98,2.14,BR,1677988426
203,touros,-5.1989,-35.4608,26.01,82,67,5.09,BR,1677988428
204,saint-augustin,51.226,-58.6502,-9.04,86,100,6.69,CA,1677988429
205,tungor,53.3808,142.9564,-0.63,84,100,7.6,RU,1677988431
206,bien hoa,10.95,106.8167,28.99,44,89,1.89,VN,1677988432
207,nisia floresta,-6.0911,-35.2086,26.21,83,56,3.08,BR,1677988435
208,anadyr,64.75,177.4833,-16.72,77,75,11.0,RU,1677988436
209,dicabisagan,17.0818,122.4157,23.48,66,57,5.62,PH,1677988437
210,iranshahr,27.2025,60.6848,17.19,72,0,2.06,IR,1677988439
211,roma,43.2128,-75.4557,1.09,93,100,3.09,US,1677988263
212,sao sebastiao,-23.76,-45.4097,24.23,88,100,2.22,BR,1677987674
213,shirokiy,49.758,129.523,1.96,95,100,4.58,RU,1677988443
214,barrow,71.2906,-156.7887,-28.99,69,40,9.26,US,1677988444
215,mount gambier,-37.8333,140.7667,22.45,44,62,3.99,AU,1677988195
216,altay,47.8667,88.1167,-0.35,79,68,0.19,CN,1677987891
217,mahebourg,-20.4081,57.7,24.58,100,75,0.0,MU,1677988450
218,nianzishan,47.5167,122.8833,12.16,18,26,6.11,CN,1677988452
219,churapcha,62.0025,132.4325,-12.33,88,99,4.11,RU,1677988454
220,jamestown,42.097,-79.2353,0.95,100,0,2.57,US,1677988372
221,beloha,-25.1667,45.05,21.24,95,100,6.18,MG,1677988457
222,buala,-8.145,159.5921,27.77,76,91,4.35,SB,1677988458
223,belaya gora,68.5333,146.4167,-30.59,89,96,1.22,RU,1677988460
224,wamba,8.9333,8.6,24.61,63,67,1.69,NG,1677988461
225,alice springs,-23.7,133.8833,35.75,40,2,2.06,AU,1677987917
226,ahuimanu,21.4447,-157.8378,24.84,81,50,0.89,US,1677988465
227,dubbo,-32.25,148.6167,33.07,25,42,7.72,AU,1677988466
228,lishui,28.4604,119.9103,20.94,31,0,0.45,CN,1677988468
229,akureyri,65.6835,-18.0878,0.96,93,100,5.14,IS,1677988469
230,briancon,44.9,6.65,-0.03,84,8,0.92,FR,1677988471
231,tadine,-21.55,167.8833,25.94,79,52,7.5,NC,1677988472
232,dingle,10.9995,122.6711,27.36,73,70,7.63,PH,1677988475
233,codrington,-38.2667,141.9667,27.48,30,40,5.53,AU,1677988477
234,liwale,-9.7667,37.9333,19.35,98,100,1.79,TZ,1677988479
235,isangel,-19.55,169.2667,27.4,80,49,4.66,VU,1677988480
236,husavik,66.0449,-17.3389,-0.96,96,100,6.56,IS,1677988482
237,fort-shevchenko,44.5086,50.263,4.48,85,100,2.92,KZ,1677988484
238,bubaque,11.2833,-15.8333,23.95,67,51,4.46,GW,1677988486
239,tigil,57.8,158.6667,-11.49,79,100,6.28,RU,1677988487
240,severo-kurilsk,50.6789,156.125,-3.53,65,99,9.09,RU,1677988489
241,haines junction,60.7522,-137.5108,-16.03,51,89,1.54,CA,1677988491
242,victoria,22.2855,114.1577,23.87,39,0,3.58,HK,1677988348
243,kloulklubed,7.0419,134.2556,29.28,73,73,5.43,PW,1677988493
244,bongaree,-27.0797,153.1586,29.11,59,3,4.94,AU,1677988495
245,jalu,29.0331,21.5482,13.5,81,15,5.68,LY,1677988497
246,kutum,14.2,24.6667,17.73,13,46,3.56,SD,1677988499
247,jumla,29.2747,82.1838,13.13,33,0,1.95,NP,1677988500
248,feijo,-8.1642,-70.3536,22.93,99,100,0.77,BR,1677988501
249,tabory,58.5198,64.5495,-5.18,95,100,2.28,RU,1677988503
250,manadhoo,5.7667,73.3833,27.24,78,77,8.04,MV,1677988504
251,mitsamiouli,-11.3847,43.2844,27.98,78,100,6.12,KM,1677988506
252,antofagasta,-23.65,-70.4,20.6,86,92,1.4,CL,1677988507
253,mansa,29.9833,75.3833,25.16,23,0,2.19,IN,1677988509
254,kavaratti,10.5669,72.642,28.03,60,1,2.87,IN,1677988510
255,biltine,14.5333,20.9167,25.83,9,39,6.75,TD,1677988511
256,magnolia,33.2671,-93.2393,9.85,93,0,1.89,US,1677988513
257,san cristobal,7.7669,-72.225,24.1,88,46,1.01,VE,1677988514
258,progreso,21.2833,-89.6667,26.06,89,2,2.96,MX,1677988516
259,viedma,-40.8135,-62.9967,18.8,46,96,7.83,AR,1677988438
260,san patricio,28.017,-97.5169,19.38,69,0,3.27,US,1677988518
261,mangalia,43.8,28.5833,6.22,79,6,4.02,RO,1677988520
262,mana,5.6592,-53.7767,24.63,89,68,4.06,GF,1677988521
263,khao yoi,13.2403,99.8243,29.98,41,72,4.39,TH,1677988523
264,sokolo,14.7328,-6.1219,25.81,13,3,4.43,ML,1677988524
265,belmonte,-15.8631,-38.8828,23.98,87,10,1.3,BR,1677988527
266,bowen,-20.0167,148.2333,27.91,59,62,7.07,AU,1677988528
267,faanui,-16.4833,-151.75,27.53,73,82,4.04,PF,1677988530
268,gaya,24.7833,85.0,21.95,56,0,2.06,IN,1677988531
269,ca mau,9.1769,105.15,30.09,48,77,3.66,VN,1677988532
270,narsaq,60.9167,-46.05,10.12,73,87,4.18,GL,1677988535
271,paso de los toros,-32.8167,-56.5167,23.16,59,0,2.34,UY,1677988536
272,katherine,-14.4667,132.2667,34.18,52,40,6.17,AU,1677988538
273,rypefjord,70.6333,23.6667,-5.74,68,100,6.17,NO,1677988539
274,port elizabeth,-33.918,25.5701,21.29,99,99,2.24,ZA,1677988541
275,uyemskiy,64.4743,40.8524,-17.97,85,0,3.0,RU,1677988542
276,manuk mangkaw,4.8,119.85,27.34,77,98,5.33,PH,1677988543
277,lakes entrance,-37.8811,147.981,34.53,45,34,1.26,AU,1677988545
278,bandarbeyla,9.4942,50.8122,25.43,75,48,8.13,SO,1677988546
279,khorixas,-20.3667,14.9667,13.88,59,1,0.78,NA,1677988548
280,kavieng,-2.5744,150.7967,25.98,80,100,1.91,PG,1677988549
281,shelburne,44.0787,-80.2041,-0.43,88,100,2.18,CA,1677988550
282,almeria,37.1667,-2.3333,5.09,60,79,0.92,ES,1677988552
283,saint george,37.1041,-113.5841,11.33,40,20,3.6,US,1677988553
284,bud,39.447,-86.1758,8.01,74,9,2.97,US,1677988554
285,hornepayne,49.2138,-84.7705,-2.93,97,100,1.3,CA,1677988556
286,ilulissat,69.2167,-51.1,1.01,69,49,5.66,GL,1677988557
287,salcedo,12.8105,121.4674,25.27,75,77,6.8,PH,1677988559
288,nosy varika,-20.5833,48.5333,23.47,94,100,1.14,MG,1677988560
289,ambatofinandrahana,-20.55,46.8,16.83,97,100,1.45,MG,1677988562
290,north bend,43.4065,-124.2243,3.37,94,75,4.12,US,1677988409
291,bima,-8.4667,118.7167,30.75,60,85,2.17,ID,1677988564
292,svetlaya,46.5389,138.3297,7.14,44,1,4.69,RU,1677988565
293,salvador,13.8333,-88.9167,22.22,80,8,0.33,SV,1677988015
294,nouadhibou,20.931,-17.0347,18.59,71,0,8.23,MR,1677988568
295,bull savanna,17.8868,-77.5902,21.69,79,11,3.28,JM,1677988569
296,marau,-28.4492,-52.2,17.64,99,46,0.84,BR,1677988572
297,te anau,-45.4167,167.7167,16.1,45,59,1.33,NZ,1677988573
298,port hedland,-20.3167,118.5667,35.03,55,51,6.69,AU,1677988575
299,acapulco,16.8634,-99.8901,24.49,77,37,3.16,MX,1677988576
300,chapleau,47.8405,-83.4034,-2.36,92,100,1.59,CA,1677988578
301,atherton,53.5237,-2.4935,3.49,80,100,0.45,GB,1677988579
302,tiznit,29.5833,-9.5,12.28,89,80,0.91,MA,1677988580
303,matane,48.8286,-67.522,-10.46,94,100,1.67,CA,1677988510
304,baracoa,20.3467,-74.4958,23.14,85,82,1.95,CU,1677988584
305,kisangani,0.5167,25.2,22.11,81,100,1.1,CD,1677988586
306,hazorasp,41.3194,61.0742,7.91,55,100,4.96,UZ,1677988587
307,adrar,20.5022,-10.0711,19.96,25,100,4.38,MR,1677988588
